tweet_id,tweet_text,sector,sentiment_score,neg_pos
1574010188104966145,"How these professionals are underrated in Ghana, I don't understand. It's one thing @pharstcare is working on, we will give you so much respect, you are at the heart of healthcare in Africa, and that is being overlooked and it is not okay.

Happy World Pharmacists Day ♥ https://t.co/6p3cIhbOLR",health,,
1574008345735864322,"Goal 1: End poverty : Ghanaian are poorer than we’ve been 4 - 6 years ago.

Goal 2: End hunger. More Ghanaian are hungry due to high cost food in Ghana.

Goal 3 : Good healthcare :More health professionals have fled the country in the last  4- 6 years than ever.

What work ? https://t.co/AyGywnnYMK",health,,
1573935076315889665,@PaakwowMayor @__danicoco Ghana's healthcare sytem: The way forward,health,,
1573750562524479489,"A new participant in #FIMALifesaver this year was @mhwaghana Muslim Healthcare Workers Associaition of Ghana 🇬🇭

They worked with EMSOG to help educate their communities - mashaAllah. https://t.co/JufQjV1bwD",health,,
1573707585978765312,"Martin O’Dowd, Head of Physical Health at @StAndrewsCare, is travelling to Ghana in October to help promote and educate the link between physical and mental healthcare! Find out more about this exciting piece of work - https://t.co/BWYknphqnO #Careers #Healthcare https://t.co/bar81JSyGv",health,,
1573685413415354369,"value challenge for AI in healthcare.

2. Ghana has a District Health Information Management System to eliminate the use of folders at the hospitals &amp; create a national consolidated health information database. (Very good initiative tbh, hopefully, our data is not in the hands of",health,,
1573550233434443777,We need to place research at the heart of medical practice and healthcare in general if we can achieve SDGs on improving patient outcomes as well as population level health outcomes. What proportion of our medics in Ghana are vested in evidence-based practice? Our next project!,health,,
1573360100525359107,"With the help from supporters like yourselves &amp; Bristol Myers Squibb, we have been able to provide essential training to 574 healthcare workers across Ghana &amp; Cameroon.

Check out our collaboration with @bmsnews 👇
#ChildhoodCancerAwarenessMonth
https://t.co/KEpWaoffgk",health,,
1573352724879798272,"Yo healthcare people in ghana, this way https://t.co/MmOTxdMkiJ",health,,
1573309684060397568,"2022. Zimbabwe has 1,633 nurses and midwives in the same period, while Ghana and Kenya have 1,333 and 641 nurses and midwives respectively.

 #mustardinsights #healthcare #environment #investment #africa #kenya #nurses #data #datainafrica",health,,
1573283704231071744,"Miira Cell+ Health Supplement 
Total Healthcare 
Call or WhatsApp 0541921386

Asake Stonebuoy MaxTv DSTV Ghana Brazil Addo Blacko Soja Friday #ONEPIECE1061 #FloodsInPakistan https://t.co/1AdG8DDMZw",health,,
1573255025899769857,"#Ghana's COVID-19 response: Questioning 'robustness' of health information system
https://t.co/y4Ma44Mbp2 
#COVID19 #NHC #coronavirus #pandemic #WHO #wuhan #healthcare #health #HealthCareAwarenessMonth #healthinformationsystem #publichealth #infection #medicare #MedicareForAll",health,,
1573240610240462850,"Miira Cell+ Health Supplement 
Total Healthcare 
Call or WhatsApp 0541921386
Free nationwide delivery 

World Cup Assmoah Gyan Blacko Soja Brazil Ghana Tamale #instagramdown #OffGunGoestoJapan #bb24 #5SOS5 #Chup https://t.co/tiB0TorMX5",health,,
1573235762186915841,"Join our loyalty program and get access to premium healthcare.

When you use a SG Ghana VISA platinum card you can enjoy the benefit of a free general practitioner consultation for your first visit to Euracare 

T&amp;C’s apply https://t.co/oQnvRgMsas",health,,
1573231085013573632,"NEW PAPER OUT!!!
Studies have shown that older adults tend to utilise more healthcare services because of the health challenges associated with increasing ageing. However, in Ghana and other low-and middle-income countries, older a…https://t.co/qKS8WifH5l https://t.co/UAFiK2oaHb",health,,
1573218711288397824,Agenda 111 is Ghana's biggest ever investment in healthcare — NPP MP #HealthCare #health via https://t.co/ZZKfbZ7o9h https://t.co/DPuvsLjRcC,health,,
1573199627351998465,Agenda 111 is Ghana's biggest ever investment in healthcare — NPP MP #HealthCare #health via https://t.co/DbEMGpxkwT https://t.co/P9Kua5djU4,health,,
1573197310183587840,Agenda 111 is Ghana's biggest ever investment in healthcare — NPP MP #HealthCare #health via https://t.co/kqACb3sUg0 https://t.co/gzQltGgaqL,health,,
1573180709866737664,@KISHKIMOOLA Some countries have better veterinary healthcare than our human system in Ghana.,health,,
1573019034588700672,"(2/12) With support from #NICHD, Dr. Afulani is examining the relationships between healthcare provider stress, bias, and person-centered #MaternalHealthcare experiences in Kenya and Ghana.",health,,
1573005015458914309,"2/1. There are just five dialysis facilities in Ghana's 16 regions. This report's data was obtained from 7 treatment facilities out of the 9 that were in operation in 2017, 4 in the public healthcare system and 3 in the private. The majority 83.4% received care in the public faci https://t.co/Ba7jF8IVeI",health,,
